,Station Name,Line,Latitude,Longitude
0,Airoli railway station,Trans-Harbour Line ,19.1592465,72.998512
1,Ambarnath railway station,Central Line ,19.0943323,73.3008946
2,Ambivli railway station,Central Line ,19.267645,73.1718625
3,Andheri railway station,Western Line ,19.1196976,72.8464205
4,Asangaon railway station,Central Line ,19.4409122,73.3065183
5,Atgaon railway station,Central Line ,19.503751,73.327362
6,Badlapur railway station,Central Line ,19.1561967,73.2660724
7,Baman Dongari railway station,Nerul–Uran line ,,
8,Bandra railway station,Western Line ,19.0550693,72.84014352466652
9,Bhandup railway station,Central Line ,19.1438684,72.9384327
10,Bhayandar railway station,Western Line ,19.3099054,72.8532539
11,Bhivpuri Road railway station,Central Line ,18.9705432,73.331417
12,Bhiwandi railway station,Central Line ,19.3025562,73.0588072
13,Boisar railway station,Western Line ,19.7984865,72.761452
14,Borivali railway station,Western Line ,19.229068,72.8573628
15,Byculla railway station,Central Line ,18.9766219,72.8327936
16,CBD Belapur railway station,Harbour Line ,19.01898695,73.03909472408442
17,Charni Road railway station,Western Line ,18.9524563,72.8174395
18,Chembur railway station,Harbour Line ,19.0612128,72.8975909
19,Chhatrapati Shivaji Maharaj Terminus railway station,Central Line ,18.94136785,72.83526733695547
20,Chinchpokli railway station,Central Line ,18.9871984,72.8326716
21,Chunabhatti railway station,Harbour Line ,19.0465213,72.8632834
22,Churchgate railway station,Western Line ,18.935357699999997,72.82719940027535
23,Cotton Green railway station,Harbour Line ,18.9871866,72.8438965
24,Currey Road railway station,Central Line ,18.9949978,72.8328707
25,Dadar Central railway station,Central Line ,19.0177342,72.8437523
26,Dahanu Road railway station,Western Line ,19.9915236,72.7434083
27,Dahisar railway station,Western Line ,19.2494501,72.8596206
28,Dativali railway station,Central Line ,19.187695,73.0583421
29,Diva railway station,Central Line ,45.8817402,22.9008611
30,Dockyard Road railway station,Harbour Line ,18.9674767,72.8445477
31,Dolavli railway station,Central Line ,18.8331631,73.3203444
32,Dombivli railway station,Central Line ,19.2180493,73.0861355
33,Prabhadevi railway station,Western Line ,19.0148811,72.8279556
34,Gavan railway station,Nerul–Uran line ,47.0850013,37.5550732
35,Ghansoli railway station,Trans-Harbour Line ,19.1164377,73.0054218
36,Ghatkopar railway station,Central Line ,19.0859539,72.9082381
37,Goregaon railway station,Western Line ,19.1651072,72.84959727713161
38,Govandi railway station,Harbour Line ,19.0553688,72.9150702
39,Grant Road railway station,Western Line ,18.9633264,72.81578856955382
40,Guru Tegh Bahadur Nagar railway station,Harbour Line ,19.0369905,72.8621647
41,Jogeshwari railway station,Western Line ,19.1348994,72.8488199
42,Juchandra railway station,Central Line ,19.3547576,72.87482
43,Juinagar railway station,Harbour Line ,19.0551161,73.0161605
44,Kalamboli railway station,Central Line ,19.0358309,73.1034796
45,Kalwa railway station,Central Line ,53.56875905,20.082468711656475
46,Kalyan railway station,Central Line ,19.243472099999998,73.13979695285245
47,Kaman Road railway station,Central Line ,19.3366555,72.9190837
48,Kandivali railway station,Western Line ,19.204159,72.8516821
49,Kanjurmarg railway station,Central Line ,19.1296868,72.9283701
50,Karjat railway station,Central Line ,18.9127655,73.3228202
51,Kasara railway station,Central Line ,19.6482325,73.4735887
52,Kelavli railway station,Central Line ,18.8331631,73.3203444
53,Kelve Road railway station,Western Line ,19.6239393,72.7912034
54,Khadavli railway station,Central Line ,19.356724,73.2190375
55,Khandeshwar railway station,Harbour Line ,19.0073498,73.0952827
56,Khar Road railway station,Western Line ,19.0696584,72.8398944
57,Kharbao railway station,Central Line ,19.2939701,72.9953635
58,Khardi railway station,Central Line ,36.3158994,-91.4826388
59,Kharghar railway station,Harbour Line ,19.0284711,73.0601464
60,Kharkopar railway station,Nerul–Uran line ,18.959918000000002,73.0141408146118
61,Khopoli,Central Line ,18.787747,73.3438185
62,King's Circle railway station,Harbour Line ,19.0316822,72.8577375
63,Kopar railway station,Central Line ,19.2112829,73.0777719384552
64,Kopar Khairane railway station,Trans-Harbour Line ,19.1031203,73.012349
65,Kurla railway station,Central Line ,41.7238743,86.173541
66,Lower Parel railway station,Western Line ,18.9963318,72.8308603
67,Lowjee railway station,Central Line ,18.809181,73.3353859
68,Mahalaxmi railway station,Western Line ,27.6466703,85.3685094
69,Mahim railway station,Western Line ,19.6464428,72.7196769
70,Malad railway station,Western Line ,19.1867193,72.8485884
71,Mankhurd railway station,Harbour Line ,19.0485178,72.9323356
72,Mansarovar railway station,Harbour Line ,19.0164338,73.0806552
73,Marine Lines railway station,Western Line ,18.945964699999998,72.82359075110442
74,Masjid railway station,Central Line ,18.9527781,72.8381032
75,Matunga railway station,Central Line ,19.0274356,72.8501467
76,Matunga Road railway station,Western Line ,19.0274356,72.8501467
77,Mumbai Central railway station,Western Line ,18.9695855,72.8193152
78,Mulund railway station,Central Line ,19.1722904,72.9564695
79,Mumbra railway station,Central Line ,19.1899455,73.02326313242338
80,Nahur railway station,Central Line ,19.1570448,72.9471855
81,Naigaon railway station,Western Line ,18.8491322,77.5310969
82,Nallasopara railway station,Western Line ,19.4178997,72.8185693
83,Neral railway station,Central Line ,19.0274308,73.3184369
84,Nerul,Harbour Line ,19.033611800000003,73.01813957492513
85,Navade Road railway station,Central Line ,19.07223625,73.09782204999999
86,Nhava Sheva railway station,Nerul–Uran line ,18.9461995,72.95031154854297
87,Nilaje railway station,Central Line ,19.1545761,73.0802554
88,Palghar railway station,Western Line ,19.6978751,72.7686942
89,Palasdari railway station,Central Line ,,
90,Panvel railway station,Harbour Line,18.9891659,73.1212219
91,Parel railway station,Central Line ,19.0094817,72.8376614
92,Rabale railway station,Trans-Harbour Line ,19.1377149,73.0031987
93,Ram Mandir railway station,Western Line ,19.151023,72.8501467
94,Ranjanpada railway station,Nerul–Uran line ,,
95,Roha railway station,Harbour Line ,18.44658,73.1238722
96,Sagar Sangam railway station,Nerul–Uran line ,19.0221923,73.01873756602905
97,Sandhurst Road railway station,Central Line ,18.96165325,72.83941803512332
98,Sanpada railway station,Harbour Line ,19.0679524,73.0093933
99,Santacruz railway station,Western Line ,19.0815223,72.8417565
100,Seawoods–Darave railway station,Harbour Line ,19.0221923,73.01873756602905
101,Saphale railway station,Western Line ,19.5771316,72.8218812
102,Sion railway station,Central Line ,19.0465213,72.8632834
103,Shahad railway station,Central Line ,19.2458783,73.1573918
104,Shelu railway station,Central Line ,20.3708363,77.2480043
105,Thansit railway station,Central Line ,19.5502698,73.352282
106,Targhar railway station,Nerul–Uran line ,18.9920191,73.0384519
107,Thane railway station,Central Line ,19.18446325,72.97067817490179
108,Thakurli railway station,Central Line ,19.2255622,73.0968165
109,Titwala railway station,Central Line ,19.2948464,73.2051012
110,Turbhe railway station,Trans-Harbour Line ,19.0761648,73.01766154369602
111,Ulhasnagar railway station,Central Line ,19.2227363,73.1657782
112,Umbermali railway station,Central Line ,19.6337517,73.4256215
113,Umroli railway station,Western Line ,19.7557614,72.7604506
114,Uran City railway station,Nerul–Uran line ,18.878674,72.9494826
115,Wadala Road railway station,Harbour Line ,19.0168546,72.8591933
116,Vaitarna railway station,Western Line ,19.5186517,72.8499772
117,Vangaon railway station,Western Line ,19.8829908,72.7631658
118,Vangani railway station,Central Line ,19.0943323,73.3008946
119,Vasai Road railway station,Western Line ,19.3826208,72.8320393
120,Vashi railway station,Central Line ,19.06413505,72.99785180661587
121,Vasind railway station,Central Line ,19.4065089,73.2674683
122,Vidyavihar railway station,Central Line ,19.078693,72.8976212
123,Vikhroli railway station,Central Line ,19.112295500000002,72.9282959621304
124,Vile Parle railway station,Western Line ,19.0999098,72.8440038
125,Virar railway station,Western Line ,19.455298,72.811816
126,Vithalwadi railway station,Central Line ,19.228396,73.1495166
127,Mulund railway station,Central Line ,19.1722904,72.9564695
128,Tilak Nagar railway station,Harbour Line ,27.6379803,95.667004
129,Sewri railway station,Harbour Line ,18.9987796,72.8544218
130,Taloja railway station,Central Line ,19.0614859,73.1161392
131,Pen railway station,Harbour Line ,18.736151,73.0949798
132,Rasayani railway station,Harbour Line ,18.8978821,73.1803608
133,Nagothane railway station,Harbour Line ,18.5402418,73.1406194
